old_state,old_frequency,angle_index,new_state,new_frequency
267,10,7,423,16
268,10,8,424,16
269,10,9,425,16
270,10,10,426,16
271,10,11,427,16
272,10,12,428,16
273,10,13,429,16
274,10,14,430,16
275,10,15,431,16
276,10,16,432,16
277,10,17,433,16
278,10,18,434,16
279,10,19,435,16
280,10,20,436,16
281,10,21,437,16
282,10,22,438,16
283,10,23,439,16
284,10,24,440,16
285,10,25,441,16
286,11,0,442,17
287,11,1,443,17
288,11,2,444,17
289,11,3,445,17
290,11,4,446,17
291,11,5,447,17
292,11,6,448,17
293,11,7,449,17
294,11,8,450,17
295,11,9,451,17
296,11,10,452,17
297,11,11,453,17
298,11,12,454,17
299,11,13,455,17
300,11,14,456,17
301,11,15,457,17
302,11,16,458,17
303,11,17,459,17
304,11,18,460,17
305,11,19,461,17
306,11,20,462,17
307,11,21,463,17
308,11,22,464,17
309,11,23,465,17
310,11,24,466,17
311,11,25,467,17
312,12,0,468,18
313,12,1,469,18
314,12,2,470,18
315,12,3,471,18
316,12,4,472,18
317,12,5,473,18
318,12,6,474,18
319,12,7,475,18
320,12,8,476,18
321,12,9,477,18
322,12,10,478,18
323,12,11,479,18
324,12,12,480,18
325,12,13,481,18
326,12,14,482,18
327,12,15,483,18
328,12,16,484,18
329,12,17,485,18
330,12,18,486,18
331,12,19,487,18
332,12,20,488,18
333,12,21,489,18
334,12,22,490,18
335,12,23,491,18
336,12,24,492,18
337,12,25,493,18
338,13,0,494,19
339,13,1,495,19
340,13,2,496,19
341,13,3,497,19
342,13,4,498,19
343,13,5,499,19
344,13,6,500,19
345,13,7,501,19
346,13,8,502,19
347,13,9,503,19
348,13,10,504,19
349,13,11,505,19
350,13,12,506,19
351,13,13,507,19
352,13,14,508,19
353,13,15,509,19
354,13,16,510,19
355,13,17,511,19
356,13,18,512,19
357,13,19,513,19
358,13,20,514,19
359,13,21,515,19
360,13,22,516,19
361,13,23,517,19
362,13,24,518,19
363,13,25,519,19
364,14,0,520,20
365,14,1,521,20
366,14,2,522,20
367,14,3,523,20
368,14,4,524,20
369,14,5,525,20
370,14,6,526,20
371,14,7,527,20
372,14,8,528,20
373,14,9,529,20
374,14,10,530,20
375,14,11,531,20
376,14,12,532,20
377,14,13,533,20
378,14,14,534,20
379,14,15,535,20
380,14,16,536,20
381,14,17,537,20
382,14,18,538,20
383,14,19,539,20
384,14,20,540,20
385,14,21,541,20
386,14,22,542,20
387,14,23,543,20
388,14,24,544,20
389,14,25,545,20
390,15,0,546,21
391,15,1,547,21
392,15,2,548,21
393,15,3,549,21
394,15,4,550,21
395,15,5,551,21
396,15,6,552,21
397,15,7,553,21
398,15,8,554,21
399,15,9,555,21
400,15,10,556,21
401,15,11,557,21
402,15,12,558,21
403,15,13,559,21
404,15,14,560,21
405,15,15,561,21
406,15,16,562,21
407,15,17,563,21
408,15,18,564,21
409,15,19,565,21
410,15,20,566,21
411,15,21,567,21
412,15,22,568,21
413,15,23,569,21
414,15,24,570,21
415,15,25,571,21
416,16,0,572,22
417,16,1,573,22
418,16,2,574,22
419,16,3,575,22
420,16,4,576,22
421,16,5,577,22
422,16,6,578,22
423,16,7,579,22
424,16,8,580,22
425,16,9,581,22
426,16,10,582,22
427,16,11,583,22
428,16,12,584,22
429,16,13,585,22
430,16,14,586,22
431,16,15,587,22
432,16,16,588,22
433,16,17,589,22
434,16,18,590,22
435,16,19,591,22
436,16,20,592,22
437,16,21,593,22
438,16,22,594,22
439,16,23,595,22
440,16,24,596,22
441,16,25,597,22
