table,case,read,power,nodes_from,nodes_to,absolute_error_order,absolute_jvp_error_order,interpretation
base,curved_emission,chi,1,9,17,1.984942794088238,1.9762830047034636,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,1,17,33,1.9079557265841232,1.881861593406517,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,1,33,65,1.6826501868295682,1.6098620960151078,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,1,65,129,4.331392752300509,6.393708829926049,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,2,5,9,2.0046239143102804,2.0167423095359394,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,2,9,17,1.978662575815869,1.9839100927491098,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,2,17,33,1.9036776347339786,1.9092577041002017,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,2,33,65,1.673163562687364,1.6872459037547418,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,2,65,129,4.47982716372768,4.260415259515053,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,4,5,9,2.027184535041581,2.0350099909650123,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,4,9,17,1.9893947054649346,1.9935850318069503,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,4,17,33,1.915739482401739,1.920267192527932,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,4,33,65,1.704864355729264,1.7163123881172035,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,4,65,129,4.023506659773844,3.886603920390811,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,0,5,9,2.1208851911126603,1.870164932447699,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,0,9,17,2.1176874151291494,2.057546026174017,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,0,17,33,2.030774696609212,2.102504010423948,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,0,33,65,1.833496520220927,2.0216161743894943,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,0,65,129,3.2983881923049116,2.542508728416991,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,1,5,9,2.120885191112641,1.8701649324477179,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,1,9,17,2.1176874151292524,2.057546026174002,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,1,17,33,2.030774696608787,2.102504010423948,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,1,33,65,1.8334965202212692,2.0216161743905854,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,1,65,129,3.2983881923049116,2.5425087284159,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,2,5,9,2.071189950943051,1.6355618058820214,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,2,9,17,2.069366365441072,2.08682911762171,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,2,17,33,1.9926105402605452,2.3277481016817716,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,2,33,65,1.7885048391866827,2.707417509899649,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,2,65,129,3.5386841496328425,0.9424532486285856,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,4,5,9,2.059881477942707,4.719755786231876,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,4,9,17,2.0488881303053113,1.312922139238534,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,4,17,33,1.9789392849027763,0.01854901881463619,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,4,33,65,1.7852775117137327,0.6176740050078767,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,log_control,4,65,129,3.4874726503484124,2.5832576198026773,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,0,5,9,-3.1776212275248903,2.0226911485947037,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,0,9,17,-0.601995396077384,2.012371108873005,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,0,17,33,2.3145286004944468,1.9996272394329728,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,0,33,65,-1.6513022478748243,1.949899618315355,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,0,65,129,1.534578137261248,2.070565078790398,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,1,5,9,-3.1776212275248703,2.0226911485947037,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,1,9,17,-0.601995396077384,2.012371108873005,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,1,17,33,2.3145286004944468,1.999627239430361,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,1,33,65,-1.6513022478748243,1.9498996183280581,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,1,65,129,1.534578137261248,2.070565078780307,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,2,5,9,-0.731299610604615,2.0103136957814662,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,2,9,17,-1.0415359851408545,2.0088791856156742,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,2,17,33,3.237035284905142,1.9982408399130385,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,2,33,65,-2.2681415204089714,1.9456553167888573,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,2,65,129,1.0828067811425295,2.0773138945692207,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,4,5,9,3.6439650464133244,2.031374087218356,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,4,9,17,-3.3882360302228895,2.015915636076563,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,4,17,33,3.3088411612584125,2.0014880685841594,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,4,33,65,-1.311949730163185,1.9574816477934616,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,chi,4,65,129,-0.1173725976102465,2.0579565360243963,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,0,5,9,2.0267040159861156,2.006506645947639,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,0,9,17,2.105486648624486,2.1070686694922007,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,0,17,33,2.1019784448339434,2.1098643326121995,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,0,33,65,2.0497640206222343,2.0592332599948193,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,0,65,129,2.0743533264631435,2.0748101741723852,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,1,5,9,2.0267040159861156,2.006506645947633,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,1,9,17,2.105486648624486,2.1070686694922007,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,1,17,33,2.1019784448339434,2.1098643326121995,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,1,33,65,2.0497640206222343,2.0592332599948193,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,1,65,129,2.074353326463143,2.0748101741647687,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,2,5,9,1.9996922431372224,1.9093398249885285,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,2,9,17,2.105697413245749,2.349267957259453,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,2,17,33,2.119471844016671,2.5610267864463325,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,2,33,65,2.0755577974993202,2.8434415624487204,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,2,65,129,2.0757414013314253,2.1109041661404864,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,4,5,9,1.9757236783096637,2.1318872659216628,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,4,9,17,2.107170978460672,1.886468982854762,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,4,17,33,2.1428285327700602,1.831232226289655,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,4,33,65,2.110951011003383,1.8104862895388025,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,affine_balance,log_control,4,65,129,2.0799221728638835,2.033612830628406,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,0,5,9,2.0322230451438807,2.0433801638140934,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,0,9,17,2.015819453209154,2.020242991284763,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,0,17,33,2.001114076469187,2.0028896795799835,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,0,33,65,1.9544456376492705,1.95856447157122,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,0,65,129,2.063657388263787,2.0578750443270133,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,1,5,9,2.0322230451438976,2.0433801638142794,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,1,9,17,2.0158194532088745,2.0202429912845767,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,1,17,33,2.0011140764694657,2.0028896795830105,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,1,33,65,1.9544456376492705,1.9585644715446655,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,1,65,129,2.063657388263787,2.057875044399523,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,2,5,9,2.0402974525489537,2.0033377634125533,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,2,9,17,2.0179363269860664,2.0055119474965286,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,2,17,33,2.001846530429951,1.9967537671908613,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,2,33,65,1.9562526931667095,1.941694903887549,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,2,65,129,2.0608361802193578,2.0829346122336543,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,4,5,9,2.0560987009408587,2.029836506512654,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,4,9,17,2.0244383122553535,2.0139660067575043,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,4,17,33,2.0047573967499592,2.000550831025896,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,4,33,65,1.9657120541511275,1.955304230702638,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,chi,4,65,129,2.0461311097936767,2.0607338790332665,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,0,5,9,1.948979774305049,2.4267203821280905,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,0,9,17,2.092437701716287,2.3627093058597723,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,0,17,33,2.1257810064819096,2.102069530293094,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,0,33,65,2.0892940620000364,1.9235121879396029,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,0,65,129,2.0824224339221447,2.0075875334961273,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,1,5,9,1.948979774305049,2.426720382128158,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,1,9,17,2.092437701716287,2.3627093058600517,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,1,17,33,2.1257810064819096,2.1020695302942354,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,1,33,65,2.089294061999297,1.9235121879381154,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,1,65,129,2.082422433921318,2.0075875334961273,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,2,5,9,1.8786364790943004,0.9766721846187455,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,2,9,17,2.0892203966614216,1.565629270130387,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,2,17,33,2.1621024713621013,1.8984029252495433,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,2,33,65,2.145652668991896,1.9634178416025176,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,2,65,129,2.0945324435506154,2.1342909346117898,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,4,5,9,1.7446483755949542,1.8205317529330913,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,4,9,17,2.0845231061240628,1.8721420914641,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,4,17,33,2.2356076541943213,1.9618793449116736,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,4,33,65,2.264962244608916,1.963551518634295,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_absorption,log_control,4,65,129,2.1406365100690277,2.0771718472061633,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,0,5,9,2.029913349975897,2.0596561740692847,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,0,9,17,2.0138437797678055,2.013138570284034,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,0,17,33,1.999874141250934,1.9960557602877504,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,0,33,65,1.9492720276434647,1.9268405804141489,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,0,65,129,2.0716818981088596,2.1067684515274463,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,1,5,9,2.029913349975792,2.0596561740692847,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,1,9,17,2.013843779767944,2.0131385702888562,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,1,17,33,1.9998741412487,1.9960557603021651,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,1,33,65,1.949272027662953,1.9268405803217676,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,1,65,129,2.0716818980916054,2.10676845160059,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,2,5,9,2.008542747013642,2.0204591742579803,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,2,9,17,2.008595991639186,2.0123466972463633,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,2,17,33,1.9981658942698943,1.9997323628494088,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,2,33,65,1.9454368574286642,1.9502825440160239,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,2,65,129,2.0777278988966934,2.0701644733915883,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,4,5,9,2.0307194752155535,2.0383775095439542,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,4,9,17,2.015797953809846,2.0188526824778497,raw diagnostic; affine primal roundoff slopes are not orders of convergence
hires,curved_emission,chi,4,17,33,2.001439112495848,2.0027004959018284,raw diagnostic; affine primal roundoff slopes are not orders of convergence
